shapeid;x;y
0;312.7834;-35.19076
0;343.7834;-19.19076
0;349.2834;-15.09076
0;355.7834;-5.89076
0;357.8834;2.10924
0;358.9834;11.40924
0;357.2834;20.80924
0;353.3834;29.80924
0;349.0834;34.90924
0;344.4834;38.60924
0;334.8834;43.50924
0;331.1834;44.80924
0;320.9834;47.70924
0;282.8834;56.50924
0;259.2834;60.60924
0;237.4834;63.10924
0;226.0834;62.90924
0;218.6834;62.00924
0;214.9834;61.40924
0;206.8834;59.10924
0;197.2834;51.80924
0;169.8834;27.60924
0;129.6834;-8.29076
0;104.7858808144;-31.4742596823
0;106.0148293806;-32.7942414756
0;99.3694038003;-38.8934676932
0;96.3653073051;-41.6244645071
0;94.3625763083;-39.8493165781
0;84.0834;-50.09076
0;84.1834;-51.89076
0;85.0834;-53.99076
0;86.8834;-55.19076
0;92.0834;-57.89076
0;99.4834;-62.39076
0;108.0834;-70.79076
0;114.2834;-79.29076
0;117.8834;-87.59076
0;121.4834;-98.99076
0;122.1834;-109.89076
0;120.6834;-122.89076
0;119.1834;-129.29076
0;118.7834;-131.99076
0;120.8834;-134.99076
0;123.3834;-136.09076
0;129.1834;-133.29076
0;136.4834;-128.79076
0;150.5834;-120.49076
0;188.7834;-98.99076
0;227.6834;-78.89076
0;229.0834;-46.19076
0;215.8834;-45.29076
0;197.9834;-44.49076
0;199.2834;-27.89076
0;280.2989563025;-33.6809955461
0;282.2106540722;-1.5007497564
0;248.0834;-0.49076
0;248.1834;16.30924
0;317.5834;12.70924
0;317.4834;1.80924
0;313.6834;2.00924
0;313.1834;-2.89076
0;309.9834;-2.99076
0;291.6834;-1.99076
0;291.9834;3.10924
0;288.3834;3.10924
0;287.8834;2.50924
0;287.3834;-5.79076
0;287.2834;-8.19076
0;286.1834;-32.49076
0;291.0834;-32.59076
0;290.8834;-38.69076
0;286.4834;-38.29076
0;286.1834;-46.49076
0;288.1834;-47.39076
0;298.0834;-42.59076
0;301.8834;-40.59076
0;305.0834;-38.89076
0;312.7834;-35.19076
1;238.1834;-71.79076
1;240.5834;-71.59076
1;277.7834;-51.49076
1;278.5834;-49.39076
1;278.5834;-47.19076
1;278.5834;-45.49076
1;239.2834;-44.89076
1;237.1834;-70.69076
1;239.2834;-71.99076
1;240.1834;-71.59076
1;241.1834;-71.59076
1;238.3834;-71.29076
1;238.1834;-71.79076
2;-88.6166;156.90924
2;-90.9166;121.90924
2;-92.2166;119.90924
2;-96.1166;118.20924
2;-101.4166;119.10924
2;-102.7166;120.10924
2;-104.0166;121.90924
2;-104.2166;123.50924
2;-101.9166;158.10924
2;-99.3166;161.10924
2;-95.7166;162.20924
2;-92.2166;161.30924
2;-89.2166;158.40924
2;-88.8166;157.30924
2;-88.8166;156.20924
2;-88.6166;156.60924
2;-88.6166;156.90924
3;63.3834;-53.09076
3;5.5834;-30.99076
3;3.086755431;-30.2387662741
3;0.3126659653;-29.3769132362
3;-2.6166;-28.49076
3;-6.1150609243;-27.7042988858
3;-9.2166;-36.19076
3;-14.1166;-41.09076
3;-18.4166;-42.99076
3;-21.3166;-35.09076
3;-18.6166;-34.69076
3;-16.387080679;-32.7114917189
3;-15.4629446443;-31.0423888808
3;-14.755697679;-27.2043953491
3;-17.4570183957;-23.1836056788
3;-19.2166;-22.29076
3;-32.4166;-17.99076
3;-49.5166;-11.39076
3;-63.4166;-6.09076
3;-79.4166;3.50924
3;-81.6166;4.70924
3;-86.3166;7.40924
3;-102.4166;16.80924
3;-104.8166;18.30924
3;-106.5166;19.60924
3;-107.2166;20.40924
3;-111.8166;24.50924
3;-118.4038285269;30.2325475346
3;-123.4456687986;33.6988127214
3;-127.7360809529;35.9961897255
3;-131.1834931045;37.1812376526
3;-133.7690522182;38.070023598
3;-136.6508733136;38.9857424507
3;-139.2902982422;39.4436018771
3;-141.5168209822;39.0445804946
3;-146.4813845272;35.3767328545
3;-175.3166;15.30924
3;-224.3664271464;-19.3645049171
3;-244.6038137925;-32.6693611896
3;-247.159746708;-34.3499746135
3;-248.8753729116;-36.6958308511
3;-249.9257563015;-39.9170065802
3;-249.9257563015;-43.3132462077
3;-249.8207179625;-46.0442430215
3;-248.1401045386;-50.5608915982
3;-247.7549639623;-55.6377446496
3;-248.1369169276;-63.1055300947
3;-248.8651827447;-70.1606051971
3;-249.4113821074;-80.401843249
3;-249.8210316295;-90.8251477552
3;-248.6303170187;-102.7286525344
3;-245.5166;-111.49076
3;-237.6166;-121.19076
3;-232.1166;-127.29076
3;-220.4166;-139.09076
3;-207.5956558148;-145.8415190272
3;-195.7472483059;-149.4662740155
3;-179.6413696602;-150.7617468631
3;-173.5491459985;-151.0768618801
3;-160.8166;-151.69076
3;-158.7166;-152.29076
3;-159.9166;-173.29076
3;-161.4166;-173.89076
3;-162.7166;-176.69076
3;-163.8166;-196.49076
3;-163.6166;-197.99076
3;-161.6166;-198.69076
3;-162.3166;-210.89076
3;-165.0166;-212.09076
3;-165.7166;-217.29076
3;-166.6166;-227.29076
3;-168.7166;-263.79076
3;-170.2166;-281.79076
3;-171.3166;-295.19076
3;-171.2166;-297.49076
3;-169.7191677298;-300.7237472397
3;-163.8693402351;-303.9799357485
3;-159.6408737679;-304.0661210523
3;-150.59141687;-304.2815843117
3;-150.5671772533;-302.4043606636
3;-144.7027021998;-302.5606442905
3;-144.648836385;-304.6883439779
3;-135.1684529681;-305.442465386
3;-127.2771110898;-305.7925931827
3;-127.2501781824;-304.3382161812
3;-118.3166;-304.79076
3;-111.5166;-302.49076
3;-106.3166;-298.99076
3;-72.6166;-271.29076
3;-45.9166;-250.59076
3;-39.9166;-245.89076
3;-28.4166;-235.39076
3;-29.0166;-226.59076
3;-28.8166;-224.49076
3;-19.2166;-218.29076
3;-17.7166;-220.49076
3;-9.5930525283;-225.0008110865
3;27.4596524783;-199.67301875
3;46.5693582901;-187.1282091253
3;57.7384350031;-176.2042218699
3;55.0834;-171.59076
3;53.9834;-168.09076
3;58.6834;-165.09076
3;68.2834;-166.69076
3;74.6834;-166.39076
3;81.3834;-162.59076
3;92.0834;-155.29076
3;101.6834;-147.19076
3;107.7834;-139.99076
3;112.9834;-127.99076
3;115.6834;-112.59076
3;115.0834;-104.49076
3;112.4834;-91.69076
3;107.3834;-81.19076
3;100.7834;-72.69076
3;93.9834;-66.69076
3;87.0834;-62.19076
3;76.6834;-57.49076
3;75.1834;-56.89076
3;75.3834;-57.29076
3;63.3834;-53.09076
4;-82.1166;281.10924
4;-83.2166;265.00924
4;-78.0166;264.50924
4;-77.8166;269.50924
4;-30.5166;266.00924
4;-29.5166;265.60924
4;-29.4166;265.80924
4;-28.6166;278.10924
4;-30.1166;280.10924
4;-33.1166;280.50924
4;-77.9166;284.80924
4;-79.3166;284.90924
4;-80.7166;284.90924
4;-81.5166;284.20924
4;-82.0166;283.30924
4;-82.1166;281.10924
5;35.3834;273.90924
5;18.4834;275.30924
5;14.4834;272.80924
5;13.5834;263.20924
5;13.0834;253.80924
5;5.8834;254.00924
5;7.4834;262.50924
5;8.9834;271.50924
5;7.6834;274.70924
5;5.2834;276.10924
5;-20.0166;278.90924
5;-21.1166;278.50924
5;-22.1166;277.30924
5;-22.2166;275.80924
5;-23.0166;265.80924
5;0.2834;264.10924
5;0.8834;263.40924
5;-0.1170982234;252.7875726957
5;-3.9040804719;252.8467442933
5;-12.8981633122;253.6751466602
5;-23.726565679;254.6810638199
5;-30.6587299686;254.9542367738
5;-42.0378833596;255.7735358179
5;-53.8166;256.60924
5;-84.2166;258.60924
5;-84.9166;247.10924
5;-91.4166;247.90924
5;-90.8166;254.70924
5;-90.3166;259.50924
5;-92.7166;259.50924
5;-100.0166;260.30924
5;-123.0166;261.70924
5;-123.5166;243.80924
5;-125.4166;244.20924
5;-125.4166;233.80924
5;-132.6166;234.40924
5;-130.4166;268.90924
5;-128.1166;268.20924
5;-127.6166;274.70924
5;-96.2166;272.30924
5;-96.7166;265.40924
5;-89.6166;265.00924
5;-88.2166;284.10924
5;-88.4166;285.40924
5;-90.1166;287.00924
5;-129.3166;291.20924
5;-133.4166;291.30924
5;-136.6166;289.30924
5;-138.3166;286.70924
5;-138.7166;284.30924
5;-139.2166;280.00924
5;-142.2166;234.00924
5;-142.9166;209.10924
5;-143.1166;207.90924
5;-134.8166;207.80924
5;-135.5166;201.70924
5;-142.7166;202.40924
5;-143.7166;202.00924
5;-145.3166;181.90924
5;-145.7166;177.60924
5;-144.8166;175.40924
5;-141.4166;172.10924
5;-138.5166;171.00924
5;-94.2166;168.60924
5;-91.7166;168.80924
5;-89.1166;169.20924
5;-86.0166;169.20924
5;-84.1166;168.20924
5;-80.8166;164.20924
5;-79.5166;159.30924
5;-80.4166;155.40924
5;-82.1166;152.90924
5;-83.9166;124.20924
5;-82.0166;118.60924
5;-83.0166;115.40924
5;-86.9166;112.60924
5;-89.4166;112.20924
5;-91.5166;111.90924
5;-94.7166;111.70924
5;-119.8166;113.10924
5;-127.4166;111.80924
5;-131.3166;110.00924
5;-136.6166;104.60924
5;-143.9166;84.90924
5;-145.7166;78.60924
5;-146.4166;73.40924
5;-146.1166;71.20924
5;-145.6166;71.20924
5;-144.4166;65.60924
5;-144.9166;65.50924
5;-143.9166;62.10924
5;-138.7166;52.00924
5;-134.4166;46.20924
5;-131.1166;43.50924
5;-121.1166;39.90924
5;-106.7166;29.00924
5;-98.2166;22.20924
5;-95.7166;22.30924
5;-93.6166;23.20924
5;-89.3166;20.20924
5;-87.0166;18.80924
5;-84.7166;17.40924
5;-83.5166;15.10924
5;-84.2166;13.50924
5;-82.3166;12.20924
5;-77.7995448978;9.1974210291
5;-73.1893314007;6.0506609232
5;-70.6989531819;4.8187228043
5;-67.6812017026;3.3986044611
5;-64.9593082115;1.8601429226
5;-63.3166;0.90924
5;-25.7166;-13.29076
5;-24.5166;-12.69076
5;-22.1166;-9.79076
5;-20.2166;-4.39076
5;-20.0166;-2.59076
5;-18.9166;-0.19076
5;-13.0166;3.20924
5;-4.7166;2.40924
5;-0.2166;2.10924
5;3.9717476258;1.6001478191
5;6.8815337626;0.9110229886
5;9.4374666781;-0.0343220623
5;12.4135529496;-1.1197182319
5;14.4645393173;-1.0966226106
5;15.6899866055;0.2688757963
5;16.8268165485;3.5479276502
5;18.1345088562;6.6248507272
5;27.6834;32.60924
5;37.4834;58.60924
5;36.8834;60.30924
5;36.3834;62.30924
5;33.8834;64.20924
5;22.1834;64.60924
5;22.1834;70.60924
5;33.0834;70.40924
5;38.0834;70.10924
5;43.7834;69.70924
5;43.8834;73.20924
5;44.2834;73.60924
5;63.4834;72.30924
5;65.8834;71.90924
5;70.6834;74.70924
5;71.9834;79.90924
5;70.6834;83.20924
5;73.2834;85.20924
5;75.1834;83.20924
5;75.2834;82.60924
5;78.0834;83.70924
5;86.0834;95.00924
5;87.4834;107.80924
5;87.6834;110.70924
5;91.7834;147.90924
5;98.2834;203.20924
5;98.3834;205.40924
5;98.3834;208.60924
5;97.4834;212.10924
5;91.0834;221.20924
5;62.7834;254.90924
5;52.9834;267.30924
5;49.7834;270.20924
5;46.4834;272.30924
5;42.2834;273.10924
5;35.3834;273.90924
7;-17.8166;-13.69076
7;-17.1166;-7.19076
7;-16.9166;-5.69076
7;-15.2166;-2.69076
7;-11.0166;-1.49076
7;7.6834;-3.09076
7;10.7834;-4.19076
7;12.2834;-6.09076
7;12.6834;-7.69076
7;6.7834;-23.39076
7;5.2834;-23.99076
7;0.6834;-22.69076
7;-12.6166;-18.09076
7;-17.1166;-13.79076
7;-17.8166;-13.69076
8;336.0834;-30.79076
8;342.2834;-27.39076
8;349.2834;-23.49076
8;351.3834;-21.69076
8;357.2834;-15.89076
8;362.0834;-8.69076
8;365.1834;-0.59076
8;366.6834;8.80924
8;366.2834;14.50924
8;364.9834;22.30924
8;362.0834;29.50924
8;357.6834;36.10924
8;353.3834;40.40924
8;347.0834;44.80924
8;341.5834;47.80924
8;329.1834;51.90924
8;298.0834;59.40924
8;280.9834;62.90924
8;261.6834;66.60924
8;230.6834;69.60924
8;219.3834;69.20924
8;213.0834;67.90924
8;207.5834;65.90924
8;203.2834;63.70924
8;197.3834;60.20924
8;177.4834;41.10924
8;176.5834;40.50924
8;175.6834;40.30924
8;174.8834;40.60924
8;173.6834;41.70924
8;173.3834;42.60924
8;173.2834;47.80924
8;168.5834;53.60924
8;162.1834;47.70924
8;162.5834;46.90924
8;162.6834;46.40924
8;167.6834;40.70924
8;167.6834;39.80924
8;166.3834;38.20924
8;169.3834;35.20924
8;151.8834;19.90924
8;129.5834;-0.79076
8;113.0834;-15.59076
8;90.0834;-36.09076
8;87.8834;-35.89076
8;81.7834;-41.59076
8;81.9834;-43.89076
8;74.7834;-49.79076
8;72.3834;-49.19076
8;72.8834;-48.69076
8;70.1834;-47.79076
8;69.5834;-48.49076
8;46.1834;-39.79076
8;29.5834;-32.99076
8;29.1834;-32.09076
8;29.3834;-30.89076
8;31.0834;-28.69076
8;26.2834;-26.89076
8;25.7834;-28.09076
8;24.9834;-30.09076
8;24.3834;-30.69076
8;23.3834;-30.79076
8;22.2834;-30.69076
8;16.0834;-28.49076
8;14.1834;-27.49076
8;13.4834;-26.69076
8;12.9834;-25.79076
8;12.7834;-24.99076
8;16.5834;-15.89076
8;17.1834;-15.49076
8;18.6834;-9.29076
8;31.4834;23.30924
8;37.8834;41.60924
8;39.8834;47.80924
8;40.0834;48.30924
8;45.3834;60.20924
8;46.8834;62.00924
8;48.1834;62.80924
8;49.7834;63.00924
8;56.5834;62.50924
8;61.4834;61.80924
8;61.4834;61.10924
8;65.0834;61.00924
8;65.0834;61.90924
8;68.3834;61.70924
8;70.6834;61.70924
8;71.2834;62.00924
8;78.5834;71.80924
8;92.1834;93.80924
8;94.1834;109.80924
8;94.5834;113.20924
8;95.1834;118.60924
8;99.9834;163.10924
8;104.2834;199.30924
8;104.6834;205.70924
8;104.6834;207.20924
8;104.7834;208.80924
8;104.2834;212.50924
8;101.7834;217.20924
8;73.1834;252.00924
8;58.7834;269.20924
8;55.1834;273.00924
8;52.5834;275.60924
8;49.4834;277.20924
8;46.3834;278.20924
8;8.2834;282.40924
8;-4.7166;283.70924
8;-12.5166;284.70924
8;-27.5166;286.20924
8;-36.6166;287.20924
8;-40.5166;287.60924
8;-48.6166;288.60924
8;-60.4166;290.00924
8;-66.1166;290.60924
8;-72.4166;291.20924
8;-75.6166;291.60924
8;-89.2166;293.00924
8;-99.1166;294.10924
8;-107.9166;295.10924
8;-123.3166;296.70924
8;-128.1166;297.30924
8;-133.4166;298.00924
8;-136.2166;297.40924
8;-139.5166;296.20924
8;-142.8166;293.20924
8;-144.7166;289.50924
8;-145.4166;285.30924
8;-146.0166;273.60924
8;-146.2166;264.80924
8;-148.8166;227.60924
8;-150.6166;200.50924
8;-151.9166;183.30924
8;-153.9166;181.00924
8;-156.3166;179.90924
8;-158.0670616706;179.7745650378
8;-163.9033369869;183.5661494047
8;-165.2499823587;181.0613890133
8;-159.3134615123;177.5358597503
8;-162.2187595076;172.1464927985
8;-155.5976426866;169.3165696099
8;-149.0862484342;167.3571032135
8;-143.8063212608;166.3102211015
8;-130.6065033273;164.9902393081
8;-113.8166;163.40924
8;-111.7166;161.90924
8;-110.6166;160.60924
8;-109.9166;159.60924
8;-110.7166;143.60924
8;-111.7166;122.70924
8;-111.8166;120.60924
8;-112.4166;119.90924
8;-113.3166;119.30924
8;-122.7166;119.70924
8;-131.4166;118.00924
8;-138.4166;114.70924
8;-143.4166;107.70924
8;-147.1166;97.80924
8;-149.6166;90.70924
8;-150.6166;89.40924
8;-151.8166;88.70924
8;-155.2166;88.00924
8;-166.5166;88.80924
8;-167.4166;72.90924
8;-157.4166;72.20924
8;-155.5166;70.80924
8;-154.0349638623;69.6206374413
8;-152.2946836896;67.0102171823
8;-151.0309088023;63.7782682902
8;-145.0149913055;48.2753165772
8;-145.1200296445;46.3496136957
8;-145.5751957801;44.6339874921
8;-146.4505152717;43.1284379665
8;-148.0611031363;41.4478245426
8;-151.0722021874;39.0669555254
8;-203.1166;3.60924
8;-261.7605372624;-36.0013908465
8;-262.3261283185;-36.6477806249
8;-262.6493232077;-37.7520298297
8;-262.3530612259;-39.0448093866
8;-258.6093870925;-44.6199212255
8;-254.9734445889;-50.0873014346
8;-253.8694025603;-54.2677858913
8;-253.5875186076;-60.4819534708
8;-253.7431916016;-65.0588930098
8;-253.7431916016;-71.1726629973
8;-254.9166;-74.59076
8;-256.2166;-78.49076
8;-259.0166;-80.99076
8;-260.0166;-81.69076
8;-271.5166;-82.29076
8;-270.7166;-98.79076
8;-260.0166;-98.39076
8;-257.7166;-100.39076
8;-255.2166;-105.39076
8;-252.4166;-112.99076
8;-246.3166;-121.49076
8;-241.0166;-128.49076
8;-235.7166;-134.19076
8;-232.1166;-138.29076
8;-206.1166;-154.09076
8;-202.9166;-154.49076
8;-184.6166;-156.79076
8;-174.1166;-157.69076
8;-171.1166;-157.89076
8;-169.6166;-158.49076
8;-168.5166;-159.79076
8;-167.8166;-161.89076
8;-169.5166;-187.09076
8;-172.0166;-230.49076
8;-175.4166;-279.69076
8;-176.7166;-298.69076
8;-177.3166;-299.99076
8;-178.6166;-301.09076
8;-192.7166;-300.39076
8;-193.093323155;-306.5626096363
8;-183.8499493236;-306.6326351957
8;-181.5741186454;-307.6480058059
8;-180.2086202384;-308.9434786535
8;-178.9481601705;-311.0792582131
8;-178.0728406789;-314.4054722812
8;-172.0166;-314.49076
8;-171.385399763;-312.8298971963
8;-170.4750674917;-311.0442454334
8;-168.2342495932;-308.6283636366
8;-166.063457254;-307.8230697043
8;-163.4725115588;-307.7880569246
8;-157.0651728802;-308.2782358399
8;-129.7166;-310.39076
8;-117.5166;-310.79076
8;-111.4166;-310.19076
8;-103.7166;-304.69076
8;-50.6166;-262.49076
8;-27.9166;-244.19076
8;11.4834;-215.39076
8;60.5834;-182.69076
8;90.9834;-164.89076
8;125.7834;-142.69076
8;162.5834;-120.49076
8;192.6834;-103.69076
8;297.8834;-49.79076
8;308.9834;-44.29076
8;313.0834;-42.39076
8;322.4834;-37.59076
8;336.0834;-30.79076
