x,y
11.540844802899999,-31.5059878256
10.1334787631,-30.7849060011
8.83410035098,-29.8554519512
7.952988234410001,-28.347209134899998
7.73632365667,-26.4003988481
8.015013527,-24.6037975296
8.5558730887,-23.0363926071
9.322425069500001,-20.8610423913
11.7115831084,-14.3967387621
14.579129763,-7.0230473648
17.313333797000002,-0.012429623776399999
20.1530673243,6.723275566799999
22.6161912186,13.2648930619
25.1125290004,20.288484960599998
27.874653013000003,27.6386822915
30.3380437983,34.5266636248
32.866246348000004,41.4893476703
35.3084653382,48.4282353401
37.7602523735,55.7837793429
39.5354003025,60.754193543999996
40.653568957800005,63.3679520979
42.4850066634,65.52258469270001
45.0705657771,66.7345655272
47.7258810227,67.4669453432
51.1795756569,67.5357648367
55.165200624499995,67.5901741656
57.9662229976,67.55516138600001
60.5571686928,67.2750591486
63.18312716770001,66.85490579270001
66.0120655554,67.1000931131
68.5154793014,67.9649087708
70.1856831006,69.1307364709
71.6912326262,71.05643935239999
73.05673103310001,72.8420911153
74.5599463725,75.111992645
76.4161867002,77.7815966504
78.9213520833,81.4464776829
81.2699077145,84.9245806332
85.97045183530001,92.3744677769
87.27508187139999,94.7846936632
88.00227037209999,97.3433198694
88.6217272431,100.8984636508
89.0526537621,105.12693011799999
89.7529093553,111.34843173530001
90.5221131917,118.6375538033
91.5524,126.3174
92.3974,133.7563
93.1566,140.8494
93.9951,148.8481
94.8886,156.9142
95.4934,162.7089
96.3672,170.8087
97.1892,178.2528
97.9828,185.4022
99.3449156393,196.21288777419997
100.1102978695,203.88248669909999
100.2373942597,206.31937616369999
100.1323559207,208.87530907919998
99.6071642258,211.29119087610002
98.48675527649999,213.7770982323
96.7361162933,216.5080950461
91.1690843266,223.720727657
86.0456,230.00400000000002
81.2169,235.6604
76.49600000000001,241.28099999999998
72.1596,246.4056
67.0792,252.4268
62.6296775729,258.04583516369996
57.895949762200004,263.6671369388
54.227310708999994,268.4008647495
50.321985265200006,271.83281741220003
46.605380633900005,273.5916826632
41.9459876477,274.56126733080004
34.792978762800004,275.4339139208
27.2827375248,276.2076963514
19.4811899599,276.9059212034
12.4811899599,277.5213058188
4.7311004080000005,278.3150455338
-2.3253213398,279.0960998494
-9.6510721619,279.8232883501
-16.3299108066,280.5932916429
-30.9344598694,282.4256763016
-39.095130822,283.1528648024
-46.0707538475,283.8531203957
-53.7735653737,284.7149734336
-61.233980733,285.5229606566
-68.2184256953,286.1748584033
-75.37375713600001,286.86960602830004
-80.2237522363,287.4041206528
-90.1232190073,288.5921208214
-96.73569625559999,289.35157703650003
-103.88327553629999,290.055976154
-111.1965957857,290.90539861919996
-118.1369988553,291.6305153578
-125.0465032653,292.6947723194
-129.68074394389998,293.10163819
-134.178560203,293.2360318045
-137.4361254774,291.8299566617
-139.4636046288,289.3927059136
-140.1576656534,286.1526771492
-140.6363353735,281.6653396072
-141.0092525534,277.0038748589
-141.23714638549998,273.0675268493
-141.7123342614,266.5257168205
-142.2910663499,257.7362293568
-142.7052675334,250.57646604319999
-143.11946871680001,243.35753113189998
-143.7111846931,236.256939416
-144.1845574742,229.09717610229998
-144.5987586576,221.87824119110002
-144.9537882434,214.8959926704
-145.3679894268,208.1504305402
-145.7821906103,200.3989512503
-146.2555633913,193.830903913
-146.8472793677,187.2628565757
-147.0945473617,182.7826051226
-147.5087485452,178.6405932883